Country_Code,Region,IncomeGroup,Country_Name,Air_pollution,Alcohol_consumption,Smoking,Lung_cancer_death_rate,Lung_cancer_death,Population,
AFG,South Asia,Low income,Afghanistan,56.91080835,0.21,31.175,3.85,1396,36296111,
ALB,Europe & Central Asia,Upper middle income,Albania,18.20060252,7.1625,29.85,38.39,1103,2873457,
AND,Europe & Central Asia,High income,Andorra,10.30762139,11.9875,34.425,58.44,45,76997,
ARG,Latin America & Caribbean,Upper middle income,Argentina,13.31183395,9.0125,30.25,30.75,13542,44044811,
ARM,Europe & Central Asia,Upper middle income,Armenia,32.52811834,5.3875,29.45,43.84,1291,2944789,
AUS,East Asia & Pacific,High income,Australia,8.550324401,11.755,19.85,38.14,9382,24601860,
AUT,Europe & Central Asia,High income,Austria,12.47796673,12.545,41.1,47.98,4221,8797566,
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,19.92866362,3.2025,26.925,22.15,2183,9854033,
BDI,Sub-Saharan Africa,Low income,Burundi,38.89626795,8.2375,18.575,2.72,295,10827010,
BEL,Europe & Central Asia,High income,Belgium,12.88651847,12.21,29.4,69.08,7858,11375158,
BEN,Sub-Saharan Africa,Lower middle income,Benin,38.99995876,2.5325,12.35,4.21,471,11175192,
BFA,Sub-Saharan Africa,Low income,Burkina Faso,42.93559251,9.5,23,4.40,844,19193236,
BGD,South Asia,Lower middle income,Bangladesh,60.84578458,0.14275,47.7,5.61,8958,159685421,
BGR,Europe & Central Asia,Upper middle income,Bulgaria,19.14913234,11.72,44.025,66.82,4728,7075947,
BHR,Middle East & North Africa,High income,Bahrain,70.81620768,1.6225,19.175,7.76,116,1494077,
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,27.74766896,6.9525,42,70.06,2348,3351534,
BLR,Europe & Central Asia,Upper middle income,Belarus,18.76557991,14.975,37.35,36.58,3460,9458989,
BLZ,Latin America & Caribbean,Upper middle income,Belize,23.01189211,6.6325,12.25,8.78,33,375775,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,21.5689866,4.5025,23.025,10.05,1125,11192853,
