"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5664071930572","","","","","34.4211633760578","","","","","34.3567968816715","","","","","33.8361694349648","","","","","33.7375138391299","34.3182082137038","34.8160380457838","34.6704923143796","34.0412709286745","35.7492246078974","35.5149431410607","35.5129881778152","","","","",
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.4867916524168","","","","","65.1795127055462","","","","","64.922461997785","","","","","64.5226827135877","","","","","65.2455916800454","66.8357271071327","66.02317421224","61.3667445152584","59.0103302514867","61.2526557952932","56.2870467224308","56.9108083545081","","","","",
"Africa Western and Central","AFW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0796325820764","","","","","56.1117966589747","","","","","55.3470919445619","","","","","48.7223823608342","","","","","44.8312701297088","44.3396828201891","47.2437420876352","42.7185429187937","41.9522054415534","60.3426367584297","57.4588891559375","58.0644822367888","","","","",
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4481159908747","","","","","35.6029081697262","","","","","36.182967879889","","","","","34.9629120527896","","","","","33.7872471854573","33.1041946330203","33.4154950593669","34.6639225658386","32.9740250383699","32.7298731438952","31.785388814817","32.3885049076425","","","","",
"Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7186632445467","","","","","22.029218279463","","","","","21.998248157076","","","","","21.5752579644029","","","","","21.2778281243428","22.7725366537911","20.5782591769838","19.9385171053378","18.8839549651717","19.5125396228106","18.1899337514472","18.2006025215914","","","","",
"Andorra","AND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1187416066287","","","","","13.9368669262055","","","","","12.5940147055853","","","","","12.9613780437777","","","","","12.8071974989972","13.2735055489618","12.4070530290878","11.8136733075768","10.8304182450691","11.462178465567","10.2558344278431","10.3076213949548","","","","",
"Arab World","ARB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3002660906353","","","","","52.5434083785399","","","","","53.0630763525235","","","","","52.395249480025","","","","","53.7870016038215","52.6523412274825","53.2974819749178","54.0541482707356","52.5838605863246","60.4068130779003","58.7641248353607","58.6874749438091","","","","",
"United Arab Emirates","ARE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8246286943079","","","","","39.7784271785445","","","","","39.6988005156856","","","","","38.9890623862208","","","","","38.9800684897726","39.1934300995497","39.2771281064554","39.6081550984834","37.9834210633454","42.3349899976744","40.5221034836171","40.9175098248731","","","","",
"Argentina","ARG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.220530169464","","","","","16.8460647537934","","","","","16.7809479169912","","","","","16.4030853648294","","","","","16.8591006158722","17.382982132833","16.1350718237481","15.5973751475223","14.4669804074766","14.6316258961135","13.7514440269638","13.311833946835","","","","",
